id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_safe_society_development
616,M04,M04U02,避難所の設置目的として正しいのはどれか？,被災者が一時的に安全に生活できる場所を確保する,食料を販売する,災害報道を行う,災害の原因を調べる,1,避難所は災害で家を失った人などが安全に避難し生活できる場所である。,"避難所,被災者支援,防災",1,,,,,
617,M04,M04U02,障害のある人や高齢者などへの支援を示すカードはどれか？,ヘルプカード,マイナンバーカード,健康保険証,パスポート,1,ヘルプカードは災害時などに援助や配慮を必要とする人が提示して支援を受けやすくするためのものである。,"支援,ヘルプカード,災害弱者",1,,,,,
618,M04,M04U02,災害時における「情報の活用」で重要なのはどれか？,正確な情報を見極める,SNSでの噂を拡散する,一人の意見に従う,過去の情報のみを信じる,1,災害時は誤情報が多いため、行政や信頼できる機関の情報を確認することが重要である。,"情報活用,防災,判断力",2,,,,,
619,M04,M04U02,「リスク・ハザード・災害」のうち、ハザードの意味として正しいのはどれか？,危険のもととなる自然現象や要因,被害を受ける人の脆弱性,被害の結果,安全な状態,1,ハザードは地震・津波・豪雨など危険をもたらす現象や要因を指す。,"ハザード,リスク,自然災害",2,,,,,
620,M04,M04U02,防災教育の目的として最も適切なのはどれか？,自ら考え行動できる力を育てること,行政任せにする意識を育てること,災害の映像を見て感想を書くこと,避難訓練の回数を増やすこと,1,防災教育は災害に対して自ら考え判断し行動できる力を養うことを目的とする。,"防災教育,判断力,行動力",2,,,,,
621,M04,M04U02,「災害リスクマネジメント」に含まれる考え方として正しいのはどれか？,危険を予測し、被害を最小限にする行動を計画する,危険を感じたらすぐ逃げるだけでよい,全てを行政に任せる,被害が起きてから対策する,1,災害リスクマネジメントはリスクを事前に分析し、被害を最小限に抑える仕組みづくりを指す。,"リスクマネジメント,防災計画,予防",2,,,,,
622,M04,M04U02,「防災・減災」の違いとして正しいのはどれか？,防災は被害を防ぐ、減災は被害を軽減する,防災は避難、減災は復旧,防災は国の仕事、減災は個人の仕事,防災と減災は同じ意味,1,防災は被害を防ぐための行動、減災は被害を少なくするための取り組みを指す。,"防災,減災,安全対策",2,,,,,
623,M04,M04U02,地震の揺れを減らす建築の工夫として正しいのはどれか？,免震構造や制震装置の導入,建物を高くする,窓を大きくする,壁を薄くする,1,免震構造や制震装置は地震の揺れを吸収・軽減して被害を減らす技術である。,"建築,免震構造,耐震",2,,,,,
624,M04,M04U02,「指定避難所」とは何を目的とした施設か？,災害発生時に安全に避難できる場所,地域イベントを行う施設,防犯カメラを設置する施設,交通量を観察する施設,1,指定避難所は災害発生時に避難者を受け入れる安全な施設である。,"避難所,防災施設,災害対応",2,,,,,
625,M04,M04U02,「災害弱者」とはどのような人を指すか？,災害時に特別な支援を必要とする人,防災訓練に参加しない人,危険を好む人,防災意識が高い人,1,災害弱者とは高齢者や障害者など、災害時に自力で避難が難しい人を指す。,"災害弱者,支援,共助",2,,,,,
626,M04,M04U02,地域防災力を高めるために必要なことはどれか？,日頃から地域の人とつながりを持つこと,非常食を個人で買いだめすること,避難所に行かないようにすること,防災情報を無視すること,1,地域のつながりが災害時の共助を支えるため、防災力を高める基盤となる。,"地域防災,共助,つながり",2,,,,,
627,M04,M04U02,「BCP（事業継続計画）」の目的として正しいのはどれか？,災害後も事業を継続・早期再開できるようにする,利益を最大化する,新しい事業を始める,避難訓練を増やす,1,BCPは企業などが災害時に業務を止めず早期に再開できるよう準備する計画である。,"BCP,災害対策,事業継続",3,,,,,
628,M04,M04U02,学校における防災教育で特に重視すべき点はどれか？,自分で判断して行動する力を育てる,避難訓練を形だけ行う,先生の指示を待つだけにする,避難経路を暗記するだけにする,1,学校防災教育では主体的に考え行動する力を育むことが重視される。,"学校,防災教育,行動力",3,,,,,
629,M04,M04U02,災害からの教訓を社会に活かすために重要なことはどれか？,記録し伝承すること,忘れること,個人の体験だけにとどめること,他国の事例を無視すること,1,過去の災害の教訓を記録し伝えることで、将来の防災・減災に役立てることができる。,"教訓,防災文化,記録",3,,,,,
630,M04,M04U02,安全な社会を築くために一人ひとりができることはどれか？,日頃から危険を意識し防災行動を習慣化する,危険を他人に任せる,防災は行政の責任と考える,災害を恐れず無視する,1,安全な社会は一人ひとりの意識と行動の積み重ねによって実現される。,"防災意識,行動習慣,社会参加",3,,,,,
