id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_mental_disorders_prevention
378,M03,M03U01,ストレス対処の方法として効果的なものはどれか？,好きな活動で気分転換する,我慢し続ける,暴飲暴食をする,他人に八つ当たりする,1,趣味やリラックス活動で心をリセットすることが有効である。,"ストレス対処,リラックス,セルフケア",1,,,,,
379,M03,M03U01,「リカバリー」という言葉の意味として正しいものはどれか？,病気を抱えながらも自分らしく生きる,完全に病気をなくすこと,他人に依存すること,社会から離れること,1,リカバリーは病気があっても自分らしい生活を取り戻す考え方である。,"リカバリー,回復,自立",2,,,,,
380,M03,M03U01,心の健康を守るための生活習慣として適切なのはどれか？,十分な睡眠をとる,夜更かしを続ける,朝食を抜く,休日も仕事をする,1,睡眠・休養の確保は心身の回復に欠かせない。,"生活習慣,睡眠,セルフケア",1,,,,,
381,M03,M03U01,精神疾患の一次予防の例として適切なのはどれか？,ストレスマネジメント教育,発症後の治療,再発防止,リハビリテーション,1,一次予防は発症を防ぐための教育や啓発活動を指す。,"一次予防,教育,啓発",3,,,,,
382,M03,M03U01,精神疾患の二次予防の目的はどれか？,早期発見・早期治療,再発防止,社会復帰支援,完全治癒,1,二次予防は早い段階での対応により重症化を防ぐことを目的とする。,"二次予防,早期治療,重症化防止",3,,,,,
383,M03,M03U01,精神疾患の三次予防の内容として正しいものはどれか？,再発防止と社会復帰支援,発症の予防,教育による啓発,ストレス解消,1,三次予防は治療後の再発を防ぎ社会復帰を支援する段階である。,"三次予防,再発防止,社会復帰",3,,,,,
384,M03,M03U01,周囲の支援者が気をつけるべき点はどれか？,相手のペースを尊重する,焦って答えを出す,感情的に反応する,無理に元気づける,1,本人のペースを尊重し支援する姿勢が大切である。,"支援,共感,傾聴",2,,,,,
385,M03,M03U01,心の不調を抱える人への社会的支援として適切なのはどれか？,地域の相談窓口の活用,孤立を促す,偏見を広める,批判的な発言をする,1,地域の保健センターなどの相談機関が支援の拠点となる。,"社会的支援,相談機関,地域",2,,,,,
386,M03,M03U01,精神疾患に関するスティグマの種類に含まれないものはどれか？,生理的スティグマ,構造的スティグマ,市民のスティグマ,当事者の自己スティグマ,1,スティグマは社会構造・市民・当事者の3種類に分類される。,"スティグマ,偏見,分類",3,,,,,
387,M03,M03U01,精神疾患に関する「構造的スティグマ」とは何か？,社会制度や仕組みによる差別,個人の思い込み,家族の支援不足,メディアの影響,1,構造的スティグマは制度や政策の中での差別を指す。,"スティグマ,社会構造,差別",3,,,,,
388,M03,M03U01,パーソナル・リカバリーの目標として適切なのはどれか？,自分らしい生き方を取り戻す,薬をやめることだけ,他人に依存する,社会を避ける,1,パーソナル・リカバリーは自立と生活の質の向上を目指す。,"リカバリー,自立,生活の質",3,,,,,
389,M03,M03U01,学校での心の健康教育のねらいとして最も適切なのはどれか？,自他の心の不調に気づき支援できる力を育てる,病気の人を見分ける力をつける,ストレスを我慢する力を強める,医師の役割を覚える,1,心の健康教育では気づきと支援のスキル育成が重視される。,"教育,気づき,支援",2,,,,,
390,M03,M03U01,心の健康づくりにおいて社会が目指すべき姿はどれか？,誰もが安心して暮らせる共生社会,精神疾患の人を排除する社会,競争を強める社会,支援を減らす社会,1,心の不調や病があっても安心して暮らせる社会が目標である。,"共生社会,社会支援,健康",3,,,,,
