id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_marriage_and_health
911,M06,M06U01,結婚生活における「相互理解」を深めるために必要なことはどれか？,一方的に意見を押し通す,相手の立場を尊重して話し合う,相手の欠点を責める,会話を避ける,2,相手の立場を理解し尊重する姿勢が、円滑なコミュニケーションと信頼関係を築く基礎となる。,"相互理解,コミュニケーション,信頼",1,,,,,
912,M06,M06U01,結婚生活を始める前に確認しておくべき事項として適切なのはどれか？,互いの健康状態,家事の得意不得意,友人の数,趣味の違い,1,互いの健康状態を理解しておくことは、将来の生活設計や支え合いに重要である。,"健康管理,生活設計,予防",1,,,,,
913,M06,M06U01,結婚生活で起こりやすい課題として最も適切なのはどれか？,金銭管理や家事分担などの生活習慣の違い,職場での人間関係の悪化,学校の成績,天候の変化,1,結婚生活では金銭感覚や家事分担など、生活習慣の違いによるすれ違いが生じやすい。,"生活習慣,家事分担,金銭管理",2,,,,,
914,M06,M06U01,配偶者暴力相談支援センターの役割として正しいものはどれか？,DV被害者への相談・保護支援を行う,児童の学習支援を行う,恋愛相談を行う,家事代行を行う,1,配偶者暴力相談支援センターはDV被害者への相談・保護・同行支援などを行う専門機関である。,"DV支援,相談機関,行政",2,,,,,
915,M06,M06U01,児童虐待防止法で定義されている虐待に含まれないものはどれか？,身体的虐待,心理的虐待,性的虐待,経済的援助,4,児童虐待防止法では身体的・心理的・性的・ネグレクトの4種類が定義されている。,"児童虐待,法律,子ども",1,,,,,
916,M06,M06U01,ネグレクトとはどのような行為を指すか？,子どもの基本的な世話や養育を怠ること,子どもに厳しく指導すること,遊びを制限すること,学習を促すこと,1,ネグレクトとは保護者が子どもの養育や世話を怠り、発達や健康に悪影響を及ぼす行為を指す。,"ネグレクト,虐待,養育",1,,,,,
917,M06,M06U01,親の養育態度のうち「放任型」にあたるものはどれか？,子どもに関心を示さない,厳しく指導しすぎる,常に褒めすぎる,感情的に怒る,1,放任型の親は子どもへの関心が低く、適切な関わりを持たない傾向がある。,"養育態度,放任,親子関係",2,,,,,
918,M06,M06U01,親の養育態度のうち「受容型」にあたるものはどれか？,子どもの個性を尊重し受け入れる,厳しい罰を与える,無視する,感情的に怒鳴る,1,受容型の親は子どもの個性を尊重し、心理的安定を育む関わりを持つ。,"養育態度,受容,心理的安定",2,,,,,
919,M06,M06U01,子どもの心身の発達において最も大切な家庭環境の特徴はどれか？,安心して愛されていると感じられる環境,厳格で競争的な環境,静かで孤立した環境,親が多忙で無関心な環境,1,子どもは安心感と愛情を感じられる家庭で情緒や社会性を健全に発達させる。,"発達,愛情,安心感",1,,,,,
920,M06,M06U01,ACEsが将来の健康に及ぼす影響として正しいものはどれか？,生活習慣病やうつなどのリスクを高める,運動能力が必ず低下する,IQが低下する,全く影響しない,1,ACEsは成人後の心身の健康に影響し、うつ病や生活習慣病のリスクを高めることが報告されている。,"ACEs,健康,リスク",3,,,,,
921,M06,M06U01,結婚に関する統計として正しいものはどれか？,平均初婚年齢は上昇傾向にある,平均初婚年齢は低下している,結婚件数は増加している,出生率は上昇している,1,日本では男女とも平均初婚年齢が年々上昇している。,"統計,初婚年齢,社会動向",2,,,,,
922,M06,M06U01,離婚件数の推移に関する説明として正しいものはどれか？,2000年代前半をピークに減少傾向にある,一貫して増加している,戦後すぐが最も多かった,現在はほとんどない,1,日本の離婚件数は2000年代前半をピークにやや減少傾向にある。,"離婚,統計,社会動向",2,,,,,
923,M06,M06U01,未婚率の上昇の要因として最も適切なものはどれか？,結婚観や価値観の多様化,婚姻制度の廃止,出生率の上昇,教育水準の低下,1,価値観の多様化や経済的理由などにより、未婚率が上昇している。,"未婚,価値観,社会変化",2,,,,,
924,M06,M06U01,国際結婚に関する説明として正しいものはどれか？,全体の婚姻件数の約3％前後を占める,全体の半数を占める,減少し続けている,禁止されている,1,日本の国際結婚は婚姻全体の約3％程度で、社会の多様化を反映している。,"国際結婚,多様性,統計",3,,,,,
925,M06,M06U01,良好な結婚生活を送るために重要な生活習慣はどれか？,お互いの健康を気遣い生活リズムを整える,相手の生活を干渉せず放任する,仕事中心で会話を避ける,感情を抑えて話さない,1,健康的な生活習慣と良好なコミュニケーションが安定した結婚生活を支える。,"生活習慣,健康,コミュニケーション",1,,,,,
926,M06,M06U01,結婚生活で「心理的自立」が求められる理由はどれか？,相手に過度に依存せず、主体的に行動できるため,家族に支配されるため,相手を管理するため,自分の感情を抑えるため,1,心理的自立とは相手に依存せず、自らの意思で判断・行動できる状態を指す。,"心理的自立,主体性,関係性",2,,,,,
927,M06,M06U01,DV防止法が制定された目的はどれか？,配偶者からの暴力の防止と被害者の保護,犯罪全般の取り締まり,家庭内教育の強化,恋愛トラブルの解決,1,DV防止法は配偶者からの暴力を防止し、被害者を保護することを目的としている。,"法律,DV,保護",2,,,,,
928,M06,M06U01,親子関係において「安全基地」とされるのはどれか？,子どもが安心して探索できるよう支える親の存在,常に叱る存在,厳しい訓練をする親,経済的支援のみをする親,1,安全基地とは子どもが安心して行動できるよう支える親の存在を指す。,"親子関係,愛着,発達",1,,,,,
929,M06,M06U01,社会的支援が結婚生活や子育てに果たす役割はどれか？,孤立を防ぎ精神的・経済的安定をもたらす,個人の努力を妨げる,依存心を強める,特に影響はない,1,地域や行政からの支援は家族の孤立を防ぎ、精神的・経済的安定を促す。,"社会的支援,子育て,地域",3,,,,,
930,M06,M06U01,結婚生活と健康の学習で最も重視すべき視点はどれか？,相互尊重とコミュニケーションの重要性,外見や収入の比較,支配と従属の関係,一方的な忍耐,1,相互尊重と対話を重んじる関係が、健康で幸福な結婚生活の基盤となる。,"尊重,対話,健康",1,,,,,
