id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_waste_management_and_water_infrastructure
1156,M07,M07U04,合併処理浄化槽の特徴として正しいものはどれか？,家庭排水をまとめて処理できる,工場排水を処理する,雨水を貯水する,地下水をくみ上げる,1,合併処理浄化槽は家庭からの台所・風呂・トイレの排水をまとめて処理できる施設である。,"浄化槽,生活排水,設備",2,,,,,
1157,M07,M07U04,水質汚濁の程度を表す指標の一つで、生物が必要とする酸素量を示すのはどれか？,BOD,DO,CO2,PM10,1,BODは水中の有機物を分解するために必要な酸素量を表す。,"水質,指標,汚染",2,,,,,
1158,M07,M07U04,「資源の有効利用促進法」が定める目的として適切なのはどれか？,廃棄物の発生抑制と再資源化の推進,ごみ焼却場の増設,輸入資源の削減,排水基準の緩和,1,この法律は廃棄物の発生を抑制し資源の有効利用を進めることを目的とする。,"法制度,資源利用,循環社会",2,,,,,
1159,M07,M07U04,「容器包装リサイクル法」が対象としているものはどれか？,ペットボトルや缶,廃油や汚泥,建設廃材,家電製品,1,容器包装リサイクル法はペットボトル・缶・びんなどの容器包装を対象とする。,"法制度,容器包装,リサイクル",2,,,,,
1160,M07,M07U04,日本の水道水の水源で最も多いのはどれか？,ダム水,地下水,湖水,河川水,1,日本の水道水は約半分がダム水を水源としている。,"上水道,水源,統計",2,,,,,
1161,M07,M07U04,下水処理における「沈殿」工程の目的はどれか？,固形物を沈めて除去する,細菌を殺す,油分を分離する,水を冷却する,1,沈殿工程では汚水中の重い汚れを沈めて取り除く。,"下水処理,工程,沈殿",2,,,,,
1162,M07,M07U04,「循環型社会形成推進基本法」が重視している考え方はどれか？,廃棄物の発生抑制と再利用,大量生産と大量消費,輸入資源の拡大,廃棄処理の高速化,1,循環型社会基本法は資源を有効に循環させる社会の形成を目的とする。,"循環社会,法制度,持続可能",2,,,,,
1163,M07,M07U04,水道水の安全を確保するために行われる主な処理の順序はどれか？,沈殿→ろ過→消毒,加熱→沈殿→ろ過,冷却→圧縮→消毒,発酵→ろ過→沈殿,1,上水処理では沈殿・ろ過・消毒の順で安全な水を供給する。,"上水処理,工程,安全水",1,,,,,
1164,M07,M07U04,ごみの減量化と資源化を進める上で重要な住民の行動はどれか？,分別収集への協力,回収日を増やす,ごみ袋を共有する,まとめて捨てる,1,分別収集を徹底することで再資源化率が向上する。,"分別,リサイクル,住民行動",2,,,,,
1165,M07,M07U04,「食品ロス」の削減につながる行動として最も適切なものはどれか？,食べ残しを減らす,消費期限を短くする,外食を減らす,ごみの日を増やす,1,食品ロス削減には食べ残しを減らし必要な量を買うことが重要である。,"食品ロス,生活習慣,環境問題",2,,,,,
1166,M07,M07U04,プラスチックごみ問題の国際的な枠組みで重要なのはどれか？,G20大阪サミット,リオサミット,京都議定書,国連教育会議,1,G20大阪サミットで2050年までに海洋プラスチックごみゼロを目指す方針が共有された。,"国際会議,プラスチック,海洋汚染",3,,,,,
1167,M07,M07U04,下水道の整備が遅れている地域で必要とされる設備はどれか？,浄化槽,焼却炉,ダム,リサイクルセンター,1,下水道がない地域では家庭用の合併処理浄化槽が設置される。,"下水道,浄化槽,設備",2,,,,,
1168,M07,M07U04,ごみ処理における「中間処理」とはどの段階か？,再利用・再資源化の前段階,最終処分の後,収集の前,リサイクル完了後,1,中間処理は焼却や破砕など最終処分前に行う段階である。,"ごみ処理,中間処理,工程",2,,,,,
1169,M07,M07U04,水道水の水質基準として設定されている項目数に最も近いのはどれか？,約50項目,約100項目,約200項目,約500項目,2,日本の水道水の水質基準は約100項目で厳しく定められている。,"水質基準,安全,上水",3,,,,,
1170,M07,M07U04,資源循環型社会を推進するために私たちができる行動として最も適切なのはどれか？,使い捨て製品を減らす,大量生産を続ける,焼却処理を増やす,資源を輸入する,1,日常生活で使い捨てを減らし再利用を心がけることが循環型社会の実現につながる。,"循環社会,持続可能,生活行動",3,,,,,
