id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_rest_and_sleep_health
225,M02,M02U02,夜型の生活が続くと起こりやすい問題はどれか？,体内時計の乱れ,運動能力の向上,記憶力の上昇,集中力の持続,1,夜型生活はメラトニン分泌を妨げ体内時計を乱す原因となる。,"体内時計,生活リズム,夜型",2,,,,,
226,M02,M02U02,睡眠リズムを整える行動として正しいのはどれか？,毎朝同じ時刻に起きる,休日に昼まで寝る,就寝時刻を日ごとに変える,寝る直前までスマホを使う,1,起床時刻を一定にすることで体内時計が整い入眠リズムも安定する。,"体内時計,生活習慣,睡眠リズム",2,,,,,
227,M02,M02U02,眠りを妨げる生活習慣として誤っているものはどれか？,寝る前にカフェインをとる,規則正しい食事をとる,夜遅くまでスマホを見る,寝る直前に激しい運動をする,2,カフェイン摂取や強い光刺激は入眠を妨げる。,"睡眠衛生,カフェイン,生活習慣",2,,,,,
228,M02,M02U02,昼間に短時間眠ることの健康効果として正しいのはどれか？,集中力の回復,体重の増加,血圧の上昇,不眠の悪化,1,短い昼寝（パワーナップ）は疲労回復や集中力の維持に有効である。,"昼寝,集中力,疲労回復",3,,,,,
229,M02,M02U02,睡眠不足と交通事故との関係として正しいのはどれか？,睡眠不足は事故発生のリスクを高める,事故率に変化はない,睡眠不足は反射神経を高める,むしろ集中力が上がる,1,睡眠不足は判断力や反応速度を低下させ事故の危険を増す。,"睡眠不足,交通事故,注意力",1,,,,,
230,M02,M02U02,睡眠の質を高める入浴の仕方として適切なのはどれか？,就寝1〜2時間前にぬるめの湯に入る,寝る直前に熱い風呂に入る,朝に長時間入浴する,風呂に入らない,1,入眠前の適温入浴は深部体温の低下を促し眠りやすくなる。,"入浴,体温,睡眠の質",2,,,,,
231,M02,M02U02,成長期の睡眠不足によって影響を受けやすいのはどれか？,ホルモン分泌と発育,視力と聴力,血液型と免疫,筋肉量と皮膚温,1,成長ホルモンは睡眠中に多く分泌されるため睡眠不足は発育を妨げる。,"成長期,ホルモン,発達",1,,,,,
232,M02,M02U02,睡眠と学習効率の関係として正しいのはどれか？,十分な睡眠は記憶の定着を助ける,睡眠不足は記憶を強化する,夜更かしは記憶力を上げる,昼寝は記憶に関係しない,1,睡眠中に記憶が整理され長期記憶として定着しやすくなる。,"記憶,学習,睡眠",2,,,,,
233,M02,M02U02,睡眠障害の一種でないものはどれか？,糖尿病,不眠症,過眠症,睡眠時無呼吸症候群,1,糖尿病は生活習慣病であり睡眠障害には含まれない。,"睡眠障害,不眠症,過眠症",2,,,,,
234,M02,M02U02,日本人の睡眠に関する社会的課題として正しいのはどれか？,睡眠時間の短さが世界的に問題,昼寝のしすぎが問題,就寝時間が早すぎる,夜勤者が多すぎる,1,日本人はOECD諸国の中でも平均睡眠時間が短く健康問題として指摘されている。,"国際比較,日本人,睡眠時間",3,,,,,
235,M02,M02U02,スマートフォンの使用が睡眠に与える主な悪影響はどれか？,光刺激によるメラトニン分泌の抑制,血圧上昇による覚醒,筋肉疲労の減少,心拍数の低下,1,スマホのブルーライトはメラトニン分泌を妨げ入眠を遅らせる。,"スマホ,ブルーライト,メラトニン",2,,,,,
236,M02,M02U02,睡眠不足が精神面に及ぼす影響として正しいのはどれか？,イライラや抑うつなどの気分変化,感情が安定する,注意力が上がる,ストレスが減る,1,睡眠不足は情動のコントロールを難しくしイライラや抑うつの原因になる。,"精神健康,睡眠不足,感情",2,,,,,
237,M02,M02U02,睡眠衛生とは何を指すか？,良い睡眠を得るための生活習慣の工夫,寝室を完全に暗くすること,眠れないときに薬を飲むこと,昼間に寝ること,1,睡眠衛生とは睡眠の質を高めるための生活上の工夫や環境づくりのことをいう。,"睡眠衛生,生活習慣,健康教育",1,,,,,
238,M02,M02U02,「睡眠健康指針2014」で示された内容として適切なのはどれか？,規則的な睡眠習慣の推奨,夜勤の増加促進,短時間睡眠の推奨,昼夜逆転生活の推進,1,厚生労働省の睡眠健康指針では規則的で質の高い睡眠習慣の確立を勧めている。,"政策,厚生労働省,睡眠指針",3,,,,,
239,M02,M02U02,社会的要因による睡眠不足の例として最も近いのはどれか？,夜間のSNS利用,運動不足,過食,寒暖差,1,SNSや夜間勤務などの社会的要因が睡眠不足を引き起こす要因となる。,"社会的要因,SNS,生活習慣",3,,,,,
240,M02,M02U02,休養・睡眠を確保する意義として最も適切なのはどれか？,心身の健康を維持し生活の質を高める,体を動かさず省エネルギーにする,時間を節約する,仕事量を増やす,1,"十分な休養と睡眠は心身の健康を守り,生活の質(QOL)の向上につながる。","QOL,健康維持,休養",1,,,,,
