id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_food_hygiene_activities
1213,M07,M07U06,食品の「賞味期限」と「消費期限」の違いとして正しいものはどれか？,消費期限は安全に食べられる期限を示す,賞味期限は味が落ちる日を示す,賞味期限は製造日を示す,消費期限は販売日を示す,1,賞味期限はおいしく食べられる期間、消費期限は安全に食べられる期間を示す。,"期限,表示,違い",1,,,,,
1214,M07,M07U06,食品事故を未然に防ぐための取り組みとして最も適切なのはどれか？,リスク管理,HACCPの排除,広告の強化,輸入食品の値下げ,1,リスク管理は危害発生の可能性を減らすために行う予防的な対応である。,"リスク,管理,予防",1,,,,,
1215,M07,M07U06,リスク分析の三手法のうち「リスク評価」に含まれる内容はどれか？,科学的データに基づいて危害の大きさを判断すること,行政が対応方針を決定すること,情報を国民に伝えること,価格を設定すること,1,リスク評価では科学的根拠に基づき危害の程度を分析し、安全基準を決定する。,"リスク分析,評価,安全基準",2,,,,,
1216,M07,M07U06,リスク分析の三手法のうち「リスク管理」に含まれる内容はどれか？,行政が安全基準を守らせるための措置をとること,消費者がSNSで意見を出すこと,企業が広告を出すこと,研究者が実験を行うこと,1,リスク管理は行政が基準に基づいて実際の対策や監督を行うことを指す。,"リスク管理,行政,対策",2,,,,,
1217,M07,M07U06,リスク分析の三手法のうち「リスクコミュニケーション」に関係する主体はどれか？,行政・事業者・消費者,行政のみ,企業のみ,消費者のみ,1,リスクコミュニケーションは行政・事業者・消費者が情報を共有し理解を深める活動である。,"リスク分析,コミュニケーション,協働",2,,,,,
1218,M07,M07U06,食品衛生監視員の主な仕事はどれか？,食品の衛生状態を検査・指導すること,商品の販売促進を行うこと,輸入許可を出すこと,新商品を開発すること,1,食品衛生監視員は飲食店や製造施設を巡回し、衛生状態を検査・指導する。,"行政,監視,衛生管理",1,,,,,
1219,M07,M07U06,HACCP導入の対象となる事業者はどれか？,すべての食品を扱う事業者,大規模企業のみ,輸入業者のみ,飲食店のみ,1,2021年よりHACCPに沿った衛生管理がすべての食品等事業者に義務づけられた。,"HACCP,義務,事業者",1,,,,,
1220,M07,M07U06,食品安全基本法で重視されている考え方はどれか？,リスク分析に基づく科学的管理,販売促進の自由,広告の規制緩和,味覚の多様化,1,食品安全基本法では科学的根拠に基づくリスク分析と情報共有が基本原則である。,"法律,基本法,リスク分析",1,,,,,
1221,M07,M07U06,食品衛生に関する行政機関として適切なのはどれか？,厚生労働省,文部科学省,外務省,文化庁,1,厚生労働省は食品衛生の監視・管理などを行う主な行政機関である。,"行政,衛生,監督",1,,,,,
1222,M07,M07U06,農林水産省が主に関与する食品関連業務はどれか？,食品の生産や流通の安全管理,医薬品の販売許可,輸入税の設定,広告基準の審査,1,農林水産省は食品の生産・加工・流通に関する安全管理を担当する。,"行政,農林水産省,流通",2,,,,,
1223,M07,M07U06,消費者庁の役割として適切なのはどれか？,食品表示制度の運用と監督,食品製造の許可,輸入食品の検査,味覚調査の実施,1,消費者庁は食品表示やアレルゲン表示などの監督を通じて消費者の安全を守る。,"行政,消費者庁,表示",2,,,,,
1224,M07,M07U06,健康食品を利用する際の注意点として正しいものはどれか？,過剰な摂取を避けること,値段が高いほど安全だと考えること,医薬品と同じ効果を期待すること,広告を信じて購入すること,1,健康食品は効果や安全性に個人差があり、摂取しすぎると健康被害の恐れがある。,"健康食品,注意,摂取",2,,,,,
1225,M07,M07U06,特定保健用食品（トクホ）に関する説明として正しいものはどれか？,国が有効性や安全性を審査して許可している,誰でも申請なしで販売できる,医薬品と同等の効果がある,宣伝の自由が認められている,1,トクホは国の審査を経て健康の維持増進に役立つと認められた食品である。,"トクホ,健康食品,制度",2,,,,,
1226,M07,M07U06,機能性表示食品の特徴として正しいものはどれか？,企業の責任で科学的根拠を示して販売できる,国が個別に許可を与える,医師の処方が必要である,医薬品として扱われる,1,機能性表示食品は企業が科学的根拠を示して届出を行い、販売できる制度である。,"健康食品,制度,表示",2,,,,,
1227,M07,M07U06,アレルギー表示が義務づけられている特定原材料に含まれないものはどれか？,りんご,卵,小麦,乳,1,義務表示の7品目は卵・乳・小麦・えび・かに・そば・落花生であり、りんごは推奨表示品目である。,"アレルギー,表示,原材料",2,,,,,
1228,M07,M07U06,食品安全の国際基準を策定する機関はどれか？,コーデックス委員会,WHO単独,FAO単独,ユネスコ,1,FAOとWHOが共同で設立したコーデックス委員会は国際的な食品安全基準を策定している。,"国際,基準,コーデックス",3,,,,,
1229,M07,M07U06,ISO22000の目的として正しいものはどれか？,食品安全マネジメントシステムの国際的標準化,商品の輸出促進,食品表示の簡略化,広告基準の統一,1,ISO22000は食品の安全管理を国際的に統一するためのマネジメント基準である。,"国際,ISO,安全管理",3,,,,,
1230,M07,M07U06,リスクコミュニケーションが重要とされる理由はどれか？,信頼関係を築くことで危機対応を円滑にするため,消費を増やすため,企業の利益を確保するため,法律を減らすため,1,行政・企業・消費者の間で信頼と理解を築くことが、食品事故の防止につながるためである。,"リスク,信頼,協働",3,,,,,
