id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_health_status
43,M01,M01U02,健康寿命を延ばすために最も効果的な行動はどれか。,病気になってから治療する,予防や早期発見に努める,運動を避けて休む,薬に頼る,2,一次予防（発症を防ぐ）や早期発見が健康寿命延伸の鍵。,健康寿命,1,,,,,
44,M01,M01U02,年齢別死亡率の形を表す言葉として正しいものはどれか。,右上がり,直線型,U字型,山型,3,乳児期と高齢期に死亡率が高く、全体ではU字型を示す。,死亡率,1,,,,,
45,M01,M01U02,日本の健康水準が向上した主な要因として最も適切なのはどれか。,衛生環境や医療の進歩,出生数の減少,地球温暖化,食料不足,1,衛生・医療・栄養状態の改善が平均寿命を押し上げた。,健康水準,1,,,,,
46,M01,M01U02,生活習慣病予防の基本的な考え方として最も適切なのはどれか。,生活習慣を整えること,医療費を増やすこと,薬を常に服用すること,社会活動を減らすこと,1,食事・運動・休養など、生活習慣を見直すことが基本。,生活習慣病,1,,,,,
47,M01,M01U02,平均寿命と健康寿命の差が示すものは何か。,不健康な期間,幸福度の高さ,出生率,医療費,1,差の大きさは、介護や治療を必要とする期間を表す。,健康寿命,1,,,,,
48,M01,M01U02,高齢化が進むことによる社会的課題として最も適切なのはどれか。,感染症の拡大,医療費や介護費の増加,出生率の上昇,災害の増加,2,高齢者人口の増加により医療・介護費が増大している。,高齢化,1,,,,,
49,M01,M01U02,ストレスが長期間続くことで起こりやすい影響はどれか。,免疫機能の低下,筋力の増加,集中力の向上,血圧の低下,1,ストレスの蓄積は自律神経や免疫機能の低下を招く。,ストレス,1,,,,,
50,M01,M01U02,健康の保持・増進のために国が行っている施策として正しいものはどれか。,健康日本21,ヘルスオリンピック,ウェルネス2020,ライフバランス法,1,国の健康づくり運動「健康日本21」が2000年から実施されている。,健康政策,1,,,,,
51,M01,M01U02,男女別の平均寿命について正しい記述はどれか。,男性が女性より長い,女性が男性より長い,男女とも同じ,年によって逆転する,2,女性の平均寿命は男性よりおよそ6年長い。,平均寿命,2,,,,,
52,M01,M01U02,高齢者の割合が増える社会を何というか。,過密社会,情報社会,高齢化社会,工業社会,3,高齢者の割合が一定以上を超えると高齢化社会という。,高齢化,2,,,,,
53,M01,M01U02,健康寿命を延ばすための地域的な取り組みとして適切なのはどれか。,地域包括ケアシステム,人口抑制政策,医療ツーリズム,輸出促進,1,医療・介護・福祉の連携による地域包括ケアが進められている。,地域包括ケア,2,,,,,
54,M01,M01U02,悩みやストレスを感じる人の割合はどの年代で最も高いか。,10〜20代,30〜40代,50〜60代,70代以上,2,働き盛り世代のストレスが最も高く約6割を占める。,ストレス,2,,,,,
55,M01,M01U02,健康格差の要因として最も関係が深いのはどれか。,血液型,社会的・経済的条件,性格,体型,2,所得や教育などの社会的要因が健康格差に関与している。,健康格差,2,,,,,
56,M01,M01U02,肥満傾向のある人が増えた原因として最も関係があるのはどれか。,情報化による運動不足,食糧不足,寒冷化,喫煙率の低下,1,自動車利用や情報機器の普及により運動量が減少している。,生活習慣,2,,,,,
57,M01,M01U02,国際的に見て日本の平均寿命はどのような水準にあるか。,世界的に低い,ほぼ平均的,世界トップレベル,やや低下傾向,3,日本は平均寿命・健康寿命ともに世界トップレベル。,国際比較,2,,,,,
58,M01,M01U02,健康の社会的決定要因（SDH）の中で個人では変えにくいものはどれか。,教育や所得などの社会的条件,運動習慣,食事内容,睡眠時間,1,社会的条件は個人の努力では変えにくいが健康に影響する。,社会的要因,3,,,,,
59,M01,M01U02,日本における主な生活習慣病の死亡率が減少傾向にある理由として正しいものはどれか。,早期発見・治療・予防の進歩,感染症の流行,平均寿命の低下,人口減少,1,健康診断や検診の普及により生活習慣病の死亡率は低下傾向。,生活習慣病,2,,,,,
60,M01,M01U02,健康に関する意識の変化として最も適切なのはどれか。,病気でない状態を健康とする考えが主流,身体的・精神的・社会的に良好な状態を健康とする考えが広がった,体力だけを重視する考えが強まった,医療従事者だけが健康を守るという考えが広まった,2,WHO憲章の影響で、健康を多面的にとらえる考えが定着した。,健康観,1,,,,,
