id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_modern_infectious_diseases
431,M03,M03U03,インフルエンザの主な感染経路はどれか？,飛沫感染,接触感染,媒介動物感染,経口感染,1,インフルエンザは感染者の咳やくしゃみの飛沫によって感染が広がる。,"インフルエンザ,感染経路,飛沫",1,,,,,
432,M03,M03U03,新型インフルエンザが問題視される理由はどれか？,多くの人が免疫をもたないため流行しやすい,感染力が弱く流行しにくい,動物にしか感染しない,季節的にしか発生しない,1,新型インフルエンザは新しい型のウイルスで多くの人が免疫をもたないため流行しやすい。,"新型インフルエンザ,免疫,流行",1,,,,,
433,M03,M03U03,再興感染症の具体例として正しいものはどれか？,結核やマラリア,SARSやエボラ出血熱,HIVやCOVID-19,食中毒,1,再興感染症には結核やマラリアなど一度減少したが再び増えた感染症がある。,"再興感染症,例,流行",1,,,,,
434,M03,M03U03,新興感染症が出現する要因として適切なのはどれか？,自然環境の変化や人間活動の拡大,医療技術の発達,出生率の低下,気温の低下,1,森林開発や人口移動など人間活動の拡大が新興感染症の出現を招く。,"新興感染症,原因,環境",2,,,,,
435,M03,M03U03,WHOが定めた感染症対策の国際的な枠組みはどれか？,国際保健規則（IHR）,京都議定書,SDGs,生物多様性条約,1,IHRは感染症の国際的な流行に対して各国が協力して対応する枠組みである。,"WHO,国際保健,感染対策",2,,,,,
436,M03,M03U03,マラリアの感染経路はどれか？,ハマダラカによる媒介,咳やくしゃみによる飛沫,水や食物からの感染,人から人への直接感染,1,マラリアはハマダラカが病原体を媒介して感染する。,"マラリア,媒介動物,感染経路",2,,,,,
437,M03,M03U03,感染症の予防で最も基本的な方法はどれか？,手洗いとうがい,抗生物質の服用,栄養剤の摂取,運動の強化,1,手洗いやうがいは多くの感染症予防の基本である。,"予防,衛生,基本対策",1,,,,,
438,M03,M03U03,パンデミックとはどのような状態を指すか？,世界的に感染症が大流行している状態,一つの地域でのみ感染が見られる状態,感染者が一時的に増える状態,季節ごとに流行を繰り返す状態,1,パンデミックは感染症が国や地域を越えて世界的に流行することをいう。,"パンデミック,流行,国際",1,,,,,
439,M03,M03U03,感染症の拡大を防ぐために社会全体で必要なことはどれか？,情報共有と協力体制の構築,個人の責任に任せる,医療機関の数を減らす,感染者を非難する,1,感染症対策では個人だけでなく社会全体での連携と支援が重要である。,"社会的支援,公衆衛生,協働",2,,,,,
440,M03,M03U03,抗菌薬が効かなくなる現象を何というか？,薬剤耐性,免疫低下,耐寒性,抵抗力増強,1,抗菌薬を過剰に使うと薬剤耐性菌が生まれ感染治療が困難になる。,"薬剤耐性,抗菌薬,公衆衛生",2,,,,,
441,M03,M03U03,感染症の「感染源」に当てはまるものはどれか？,病原体を持つ人や動物,ウイルスのない空気,汚染されていない水,健康な植物,1,感染源とは病原体を保有して感染を広げる人や動物を指す。,"感染源,病原体,感染経路",1,,,,,
442,M03,M03U03,感染症の「感染経路」を断つために有効なのはどれか？,消毒やマスクの使用,食事の制限,運動量の調整,読書習慣の維持,1,感染経路の遮断には消毒やマスク着用などが有効である。,"感染予防,衛生,遮断",1,,,,,
443,M03,M03U03,感染症に対する「感受性者対策」として正しいのはどれか？,予防接種を受ける,手洗いをしない,感染者に近づく,免疫を下げる薬を飲む,1,ワクチン接種は感受性者対策の代表的な方法である。,"予防接種,免疫,対策",1,,,,,
444,M03,M03U03,情報の偏りや誤情報による感染不安を何というか？,インフォデミック,アカデミック,パンデミック,エピデミック,1,インフォデミックは感染症に関する不正確な情報が広がる現象を指す。,"インフォデミック,情報,心理",3,,,,,
445,M03,M03U03,「One World」という考え方の目的はどれか？,地球全体の健康を共有して守ること,国ごとに健康格差を広げること,動物の健康のみを重視すること,環境問題を軽視すること,1,One Worldは人・動物・環境を一体として世界全体の健康を守る考えである。,"OneWorld,国際保健,SDH",3,,,,,
446,M03,M03U03,感染症が発生しても社会機能を維持するために重要なことはどれか？,医療・物流などの継続計画を立てること,学校をすぐに閉鎖すること,感染者を全員隔離すること,他国との交流を完全に断つこと,1,感染症流行時でも社会基盤を維持するためBCP（事業継続計画）が重要である。,"感染症対策,社会機能,危機管理",3,,,,,
447,M03,M03U03,感染症の流行を抑えるために有効なワクチン接種率のことを何というか？,集団免疫,自然免疫,獲得免疫,自己免疫,1,集団免疫は一定割合の人が免疫を持つことで流行を防ぐ仕組みである。,"免疫,集団免疫,予防",2,,,,,
448,M03,M03U03,感染症対策におけるグローバル化の課題として正しいものはどれか？,人や物の移動により感染症が広がりやすくなる,感染症が国境で完全に止まる,世界中で感染症が減少する,感染経路が単純になる,1,国際交流の拡大により感染症は短期間で世界中に拡大するリスクがある。,"グローバル化,感染拡大,国際保健",2,,,,,
449,M03,M03U03,感染症流行時に差別や偏見が生じる原因として適切なのはどれか？,誤った情報や不安による行動,感染者への理解の深さ,正確な情報提供,冷静な対応,1,恐怖やデマが差別や偏見を引き起こすことがある。,"差別,情報,社会問題",3,,,,,
450,M03,M03U03,感染症の問題に対して私たちが取るべき基本的姿勢はどれか？,科学的根拠に基づいて冷静に行動する,うわさや感情で判断する,感染者を避けて関係を断つ,予防行動をとらない,1,感染症対策では正確な情報をもとに冷静な行動を取ることが大切である。,"健康行動,科学的思考,感染症",3,,,,,
