id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_water_and_soil_pollution_and_health
1100,M07,M07U02,POPｓ（残留性有機汚染物質）の特徴として正しいものはどれか？,分解されにくく生物に蓄積しやすい,水に溶けやすく短期間で分解される,高温でしか存在できない,無害で自然に除去される,1,POPsは難分解性で生物体内に蓄積しやすく，長距離移動する性質をもつ有害物質群である。,"POPs,環境汚染,化学物質",2,,,,,
1101,M07,M07U02,環境基本法で定められている環境汚染の分類に含まれるものはどれか？,大気汚染・水質汚濁・土壌汚染,温暖化・酸性雨・砂漠化,森林破壊・廃棄物問題・騒音,海洋ごみ・熱汚染・振動,1,環境基本法では公害型の汚染として大気汚染・水質汚濁・土壌汚染などが定められている。,"環境基本法,公害,分類",2,,,,,
1102,M07,M07U02,地下水汚染が健康に及ぼす影響として最も適切なものはどれか？,飲料水を通じて体内に有害物質が入る,呼吸器に直接影響する,紫外線の吸収を妨げる,騒音を引き起こす,1,地下水汚染は飲料水源に有害物質が混入し，人が摂取することで健康被害を生じる。,"地下水,健康影響,有害物質",1,,,,,
1103,M07,M07U02,重金属による土壌汚染で起こりやすい現象はどれか？,農作物を通じた人体への影響,空気の乾燥,気温の低下,地震の増加,1,重金属は植物に吸収され，農作物を介して人の体内に取り込まれることがある。,"重金属,土壌汚染,食物連鎖",1,,,,,
1104,M07,M07U02,シアンによる汚染が問題となるのはどのような場面か？,鉱山やメッキ工場の排水,森林の伐採,都市部の自動車排ガス,火山活動,1,シアンは金属精錬やメッキ処理で使用されるため，排水による水質汚濁の原因となる。,"シアン,水質汚濁,産業排水",2,,,,,
1105,M07,M07U02,放射線の単位として用いられるシーベルト（Sv）は何を示すか？,人体への影響の大きさ,放射線の透過距離,放射能の強さ,放射線の発生源の数,1,シーベルトは放射線が人体に与える影響の大きさを表す単位である。,"放射線,単位,シーベルト",3,,,,,
1106,M07,M07U02,日本における河川水のBOD値の傾向として正しいものはどれか？,改善傾向にある,悪化傾向にある,ほぼ変化がない,年々上昇している,1,生活排水処理や下水道整備の進展により，河川のBOD値はおおむね改善している。,"BOD,統計,環境改善",2,,,,,
1107,M07,M07U02,農薬による環境汚染で特に問題となるのはどの経路か？,土壌や河川への流出,大気への拡散,地震活動の誘発,電磁波の発生,1,農薬は散布後に雨などで流出し，土壌や河川を通じて広範囲に汚染を及ぼすことがある。,"農薬,環境汚染,流出",2,,,,,
1108,M07,M07U02,ダイオキシン類による健康影響で正しいものはどれか？,発がん性や生殖機能への影響,皮膚がんのみ,視覚障害,聴覚障害,1,ダイオキシン類は極めて毒性が強く，発がん性や生殖・免疫機能への影響が報告されている。,"ダイオキシン,健康影響,化学物質",2,,,,,
1109,M07,M07U02,土壌汚染対策法で定められている主な措置はどれか？,汚染区域の指定と浄化措置,排出事業者への課税,輸出入規制,公害被害者の救済,1,土壌汚染対策法では汚染の範囲を特定し，区域指定や浄化措置を行うことが定められている。,"法制度,土壌汚染,浄化",2,,,,,
1110,M07,M07U02,私たちが水質汚濁や土壌汚染を防ぐためにできる行動として最も適切なものはどれか？,洗剤や油を流さず正しく処理する,冷暖房の使用を減らす,森林に入らないようにする,自動車の運転を避ける,1,生活排水に含まれる油や洗剤をそのまま流さず，適切に処理することが環境保全につながる。,"生活排水,環境保全,行動変容",3,,,,,
