id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_public_health_services
1249,M08,M08U01,「健康日本21」の基本理念に最も近いものはどれか？,すべての人が健康で生き生きと生活できる社会の実現,全国一律の食事内容の統一,医療費の削減のみを目指す,高齢者だけの健康づくりを重視する,1,健康日本21は国民全体の健康寿命の延伸と生活習慣の改善を目指す国家的運動である。,"健康日本21,健康寿命,生活習慣",2,,,,,
1250,M08,M08U01,二次予防に該当する保健サービスはどれか？,健康診断,予防接種,リハビリテーション,衛生教育,1,二次予防は早期発見・早期治療を目的とし、健康診断などが該当する。,"予防,二次予防,健康診断",1,,,,,
1251,M08,M08U01,三次予防に当たる保健サービスはどれか？,リハビリテーション,感染予防,健康教育,定期健診,1,三次予防は病気や障害の再発・悪化を防ぐためのリハビリなどである。,"予防,三次予防,リハビリ",1,,,,,
1252,M08,M08U01,行政が行う健康教育のねらいとして最も適切なのはどれか？,住民の健康意識を高め自ら行動できるようにする,医療機関の利用を減らす,病気の人を管理する,食費を節約させる,1,健康教育は住民が自らの健康管理能力を高めることを目的としている。,"健康教育,行動変容,健康意識",1,,,,,
1253,M08,M08U01,地域の健康課題を明らかにするために行われるのはどれか？,地域診断,健康相談,予防接種,講演会,1,地域診断は住民の健康状態や環境を分析し、地域の課題を明らかにする手法である。,"地域診断,健康調査,課題分析",2,,,,,
1254,M08,M08U01,公衆衛生の英語表記として正しいのはどれか？,Public Health,Social Welfare,Medical Science,Human Service,1,公衆衛生は英語でPublic Healthと表記される。,"英語,公衆衛生,用語",3,,,,,
1255,M08,M08U01,「SDH（健康の社会的決定要因）」に含まれる要素として適切なのはどれか？,所得や教育などの社会的条件,血液型や体格,遺伝子情報のみ,天気や季節,1,SDHは健康に影響を与える社会・経済・環境的要因を指す。,"SDH,社会的決定要因,健康格差",3,,,,,
1256,M08,M08U01,地域住民が主体的に健康づくりに参加する取組を何というか？,ヘルスプロモーション,デジタルヘルス,メディカルケア,リカバリーケア,1,ヘルスプロモーションは住民が主体となって健康的な生活環境をつくる活動である。,"健康づくり,ヘルスプロモーション,主体性",2,,,,,
1257,M08,M08U01,感染症予防における保健所の役割で正しいのはどれか？,発生状況の把握と拡大防止,薬の販売許可,治療の実施,病院経営の管理,1,保健所は感染症発生の監視や防止のための指導を行う。,"感染症,保健所,防止",1,,,,,
1258,M08,M08U01,地域保健の中で産業保健が対象とする集団はどれか？,働く人々,高齢者,乳幼児,学生,1,産業保健は職場における健康管理や労働環境の改善を目的とする。,"産業保健,労働者,健康管理",2,,,,,
1259,M08,M08U01,保健センターが連携することが多い関係機関はどれか？,医療機関や福祉機関,金融機関,教育委員会,旅行会社,1,保健センターは医療・福祉・教育などの関係機関と連携して住民を支援する。,"連携,地域包括,支援ネットワーク",2,,,,,
1260,M08,M08U01,保健サービスの活用が促進されると期待される効果はどれか？,健康寿命の延伸,医療費の急増,感染症の拡大,社会参加の減少,1,保健サービスを適切に活用することで、生活の質の向上や健康寿命の延伸が期待される。,"健康寿命,保健サービス,効果",1,,,,,
