id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_work_and_health
971,M06,M06U03,労働の三次産業化とはどのような傾向を指すか？,農業・林業が中心になる,製造業が増加する,情報やサービス業が中心になる,建設業が増える,3,近年は第三次産業が増加し，情報・サービス業が労働の中心となっている。,"産業構造,三次産業,情報化",2,,,,,
972,M06,M06U03,精神的な健康問題として増加しているのはどれか？,骨折,心の病気（うつ病など）,感染症,消化器疾患,2,職場ストレスの増加により，うつ病などの心の健康問題が増加している。,"メンタルヘルス,ストレス,精神",1,,,,,
973,M06,M06U03,労働時間が長いことによって起こりやすい問題はどれか？,集中力の向上,睡眠不足や疲労の蓄積,健康の改善,社交性の向上,2,長時間労働は睡眠不足や疲労蓄積を引き起こし，健康リスクを高める。,"労働時間,疲労,健康リスク",1,,,,,
974,M06,M06U03,仕事上のストレス要因に含まれないものはどれか？,上司や同僚との関係,仕事内容の変化,余暇活動の充実,過重な責任,3,余暇の充実はストレス要因ではなく，むしろ軽減につながる。,"ストレス要因,職場,人間関係",2,,,,,
975,M06,M06U03,VDT作業とは何を指すか？,体力を使う作業,ディスプレイを使用する作業,屋外での作業,単純作業,2,VDT作業はコンピュータ画面などを見続ける作業のことで，目や姿勢への負担が大きい。,"VDT,作業,健康障害",2,,,,,
976,M06,M06U03,VDT作業で注意すべき健康影響はどれか？,視力低下や肩こり,感染症の流行,骨折やけが,脱水症状,1,長時間のVDT作業では目の疲れや肩こりが起こりやすく，定期的な休憩が大切である。,"VDT,目の健康,姿勢",2,,,,,
977,M06,M06U03,テレワークの利点として適切なのはどれか？,通勤時間が減る,同僚との交流が増える,運動量が増える,ストレスが減らない,1,テレワークは通勤負担を減らし，柔軟な働き方を可能にする利点がある。,"テレワーク,柔軟な働き方,通勤",2,,,,,
978,M06,M06U03,テレワークにおける課題として適切なのはどれか？,通勤の負担,対人関係の希薄化,集中力の向上,作業効率の上昇,2,テレワークでは孤立感や人間関係の希薄化が課題となる。,"テレワーク,課題,孤立",2,,,,,
979,M06,M06U03,働く人の健康を守るために国が定めている法律はどれか？,食品衛生法,労働安全衛生法,道路交通法,健康増進法,2,労働安全衛生法は働く人の安全と健康を守るための基本的な法律である。,"法制度,労働安全衛生法,健康管理",1,,,,,
980,M06,M06U03,職場のメンタルヘルス対策として正しいのはどれか？,相談窓口の設置やストレスチェック,長時間労働の推奨,精神的問題の放置,同僚との競争強化,1,企業ではストレスチェック制度や相談体制の整備などが進められている。,"メンタルヘルス,職場,対策",1,,,,,
981,M06,M06U03,ワーク・ライフ・バランスの推進によって期待される効果はどれか？,過労死の増加,仕事と生活の調和による満足度向上,家庭時間の減少,職場対立の増加,2,仕事と生活の調和が取れることで，健康や生産性の向上が期待される。,"ワークライフバランス,調和,満足度",1,,,,,
982,M06,M06U03,心身の健康を守るための組織的取り組みとして正しいのはどれか？,健康診断の実施,業務量の増加,深夜勤務の拡大,休日削減,1,定期的な健康診断は従業員の健康状態を把握し，予防に役立つ。,"職場,健康管理,制度",1,,,,,
983,M06,M06U03,働く目的として近年増加している理由はどれか？,社会とのつながりや生きがいのため,生活費だけのため,家族の期待のため,短期的な収入のため,1,働くことの目的に「生きがい」や「社会参加」を求める人が増えている。,"働く目的,生きがい,社会参加",2,,,,,
984,M06,M06U03,過労死を防ぐために企業が行うべき取り組みはどれか？,残業時間の管理と休暇の確保,長時間労働の強化,評価の厳格化,勤務時間の延長,1,過労死防止には勤務時間の適正化と休養の確保が重要である。,"過労死,労働時間,対策",1,,,,,
985,M06,M06U03,心の健康を維持するセルフケアとして最も適切なのはどれか？,悩みを抱え込む,趣味や運動で気分転換する,他人と比較する,仕事を増やす,2,ストレスを軽減するために，適度な運動や趣味が役立つ。,"セルフケア,メンタルヘルス,ストレス",2,,,,,
986,M06,M06U03,産業医の役割として正しいのはどれか？,従業員の健康を管理・指導する,企業経営を行う,人事評価を決定する,医療費を負担する,1,産業医は職場で従業員の健康を守る専門医として活動している。,"産業医,職場,健康管理",1,,,,,
987,M06,M06U03,労働災害の防止に最も関係するものはどれか？,安全教育と環境整備,残業の増加,昇進制度,給与引き上げ,1,安全教育や職場環境の整備が労働災害防止の基本となる。,"労働災害,安全,職場環境",1,,,,,
988,M06,M06U03,働き方改革の目的として正しいのはどれか？,生産性の向上と健康的な働き方の実現,労働時間の延長,賃金の削減,雇用の減少,1,働き方改革は長時間労働を是正し，生産性と健康を両立することを目的としている。,"働き方改革,生産性,健康",1,,,,,
989,M06,M06U03,将来の働き方の課題として挙げられるものはどれか？,高齢化やAIの進展への対応,労働力の増加,雇用の安定化のみ,単一職種への集中,1,少子高齢化やAIの普及など，社会変化に柔軟に対応することが求められる。,"未来,AI,高齢化",3,,,,,
990,M06,M06U03,健康的な職場づくりのために必要な視点はどれか？,個人の努力のみで解決する,組織全体で支え合う体制をつくる,競争を促す仕組みを強める,健康問題を個人責任にする,2,職場全体で支援体制を整え，共に健康を守る文化づくりが重要である。,"健康職場,支援体制,組織文化",2,,,,,
