id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_cancer_causes_and_prevention
107,M01,M01U04,がん検診の目的として最も適切なのはどれか？,早期発見・早期治療,再発防止,生活習慣の改善,がんの根絶,1,がん検診はがんを早期に発見し治療することを目的としている。,"検診,二次予防,早期発見",1,,,,,
108,M01,M01U04,がん検診で胸部X線撮影が行われるのはどのがんのためか？,肺がん,胃がん,大腸がん,子宮頸がん,1,胸部X線検査は肺がんの早期発見に用いられている。,"検診,肺がん,放射線",2,,,,,
109,M01,M01U04,がん検診でバリウムを使用するのはどのがんか？,胃がん,肺がん,大腸がん,乳がん,1,胃X線検査では造影剤のバリウムを用いて胃がんを調べる。,"検診,胃がん,X線",2,,,,,
110,M01,M01U04,がんの罹患率が男女で異なる理由として最も適切なのはどれか？,性差による臓器や生活習慣の違い,遺伝要因が全くない,がんの種類が異ならない,検診制度が異なる,1,性別による臓器や生活習慣の違いががんの発症率に影響している。,"統計,性差,発症率",2,,,,,
111,M01,M01U04,がん治療で行われる放射線療法の目的はどれか？,がん細胞を破壊する,免疫力を高める,痛みを和らげる,体温を下げる,1,放射線療法はがん細胞を狙って照射し、増殖を抑える治療法である。,"治療,放射線,がん細胞",1,,,,,
112,M01,M01U04,化学療法とはどのような治療か？,抗がん剤を用いる治療,手術でがんを除去する治療,放射線を照射する治療,食事療法,1,化学療法は抗がん剤などの薬を用いてがん細胞の増殖を抑える。,"治療,薬剤,抗がん剤",1,,,,,
113,M01,M01U04,がんの治療における手術療法の目的はどれか？,がんの病巣を取り除く,再発を防ぐ,痛みを軽減する,免疫力を高める,1,手術療法はがんが限局している場合に病巣を切除する目的で行われる。,"治療,手術,切除",1,,,,,
114,M01,M01U04,がん治療の副作用として正しいのはどれか？,脱毛や吐き気,高血圧,視力低下,低体温,1,抗がん剤治療などでは脱毛や吐き気などの副作用が生じることがある。,"治療,副作用,抗がん剤",2,,,,,
115,M01,M01U04,がんの5年生存率が高いがんとして正しいのはどれか？,乳がん,胃がん,肺がん,すい臓がん,1,乳がんは比較的早期に発見しやすく、5年生存率が高い傾向にある。,"統計,生存率,乳がん",2,,,,,
116,M01,M01U04,がんの社会的取り組みとして適切なのはどれか？,がん検診の推進や医療体制の整備,がんの情報を隠すこと,喫煙を推奨すること,医療費を減らすこと,1,がん対策基本法などにより、検診や治療体制の充実が進められている。,"政策,社会,医療制度",2,,,,,
117,M01,M01U04,がんのリスク要因を減らす社会的施策として正しいのはどれか？,禁煙・受動喫煙防止条例の制定,飲酒推進キャンペーン,喫煙率の向上,がん検診の縮小,1,喫煙防止政策はがん発症リスクを減らす重要な社会的取り組みである。,"政策,禁煙,健康政策",2,,,,,
118,M01,M01U04,がん検診の受診率向上に向けた課題はどれか？,検診の重要性を理解していない人が多い,受診費用が高すぎる,医療機関が多すぎる,若者の検診率が高い,1,がん検診の受診率向上には、意識や知識の不足が課題となっている。,"社会,検診率,意識",3,,,,,
119,M01,M01U04,がんのスクリーニングとは何か？,症状のない人を対象に早期発見を行う検査,治療後の再発を確認する検査,がんの種類を特定する検査,薬の副作用を調べる検査,1,スクリーニングとは症状のない段階でがんを早期に発見するための検査である。,"検査,スクリーニング,早期発見",2,,,,,
120,M01,M01U04,がん予防において「社会的支援」が重要とされる理由はどれか？,生活習慣の改善を継続しやすくするため,治療を受けなくても済むため,医療費を削減できるため,がんの遺伝を防ぐため,1,家族や地域の支援があることで、禁煙や検診受診など健康的行動を継続しやすくなる。,"社会的支援,行動変容,健康支援",3,,,,,
