id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_lifestyle_disease_prevention
71,M01,M01U03,生活習慣病の英語表記として正しいものはどれか？,Lifestyle-related diseases,Infectious diseases,Genetic disorders,Mental disorders,1,生活習慣病は英語で “Lifestyle-related diseases” または “Non-communicable diseases (NCDs)” と表される。,"NCDs,英語表記,非感染性疾患",2,,,,,
72,M01,M01U03,NCDs（非感染性疾患）に含まれる主な病気はどれか？,がん・糖尿病・心疾患・慢性呼吸器疾患,風邪・肺炎・食中毒・結核,うつ病・統合失調症・不安障害,骨折・打撲・火傷,1,NCDsは感染ではなく生活習慣や環境要因によって発症する代表的な慢性疾患群を指す。,"NCDs,慢性疾患,分類",2,,,,,
73,M01,M01U03,高血圧が続くと特に影響を受けやすい臓器はどれか？,心臓・脳・腎臓,肺・肝臓・膵臓,胃・腸・肝臓,骨・筋肉・関節,1,高血圧は心臓や脳、腎臓の血管に負担をかけ、心筋梗塞や脳卒中、腎不全の原因となる。,"高血圧,合併症,循環器疾患",1,,,,,
74,M01,M01U03,メタボリックシンドロームの診断基準に含まれないものはどれか？,体温の低下,内臓脂肪の蓄積,高血圧,脂質異常または高血糖,1,メタボリックシンドロームは内臓脂肪型肥満に高血圧・脂質異常・高血糖のうち2つ以上が重なる状態。,"メタボリックシンドローム,診断基準",1,,,,,
75,M01,M01U03,動脈硬化を促進する要因として最も関係が深いものはどれか？,脂質異常や喫煙,十分な睡眠,良好な人間関係,規則正しい生活,1,喫煙や高脂血症は血管内膜を傷つけ、動脈硬化のリスクを高める。,"動脈硬化,リスク要因,喫煙",1,,,,,
76,M01,M01U03,糖尿病の原因として最も適切なものはどれか？,インスリンの作用不足や分泌低下,細菌感染,鉄分の不足,ビタミン過剰,1,糖尿病は、血糖を下げるホルモン「インスリン」の働きが低下することで血糖値が上昇する。,"糖尿病,原因,インスリン",1,,,,,
77,M01,M01U03,COPD（慢性閉塞性肺疾患）の主な原因はどれか？,喫煙,運動不足,遺伝,塩分の取りすぎ,1,COPDはタバコの煙などの有害物質を長期間吸入することが主な原因である。,"COPD,喫煙,呼吸器疾患",2,,,,,
78,M01,M01U03,高血圧や糖尿病など複数の生活習慣病が重なる状態を何というか？,メタボリックシンドローム,生活リズム障害,ホメオスタシス障害,サーカディアンリズム,1,複数の生活習慣病が重なり合うことで動脈硬化などのリスクが高まる状態をメタボリックシンドロームという。,"メタボリックシンドローム,複合リスク",2,,,,,
79,M01,M01U03,「健康寿命」とはどのような期間を指すか？,日常生活を自立して送れる期間,生まれてから亡くなるまでの期間,平均寿命から5年を引いた期間,医療を受けている期間,1,健康寿命は「介護を受けず、自立して生活できる期間」を指す指標。,"健康寿命,定義,指標",2,,,,,
80,M01,M01U03,日本人の死因の第1位はどれか？,がん,心疾患,脳血管疾患,肺炎,1,日本の死因の上位はがん、心疾患、老衰、脳血管疾患の順で、がんが最も多い。,"死因統計,日本,がん",1,,,,,
81,M01,M01U03,がんの一次予防として最も適切なのはどれか？,禁煙や節度ある飲酒,定期検診の受診,リハビリテーション,薬物療法,1,がんの一次予防では、喫煙や過度な飲酒などのリスク要因を避けることが重要である。,"がん,一次予防,生活習慣",1,,,,,
82,M01,M01U03,がん検診や特定健診はどの予防にあたるか？,二次予防,一次予防,三次予防,再発予防,1,検診によって早期発見・早期治療を行うのは二次予防の代表例である。,"がん検診,二次予防,健診",1,,,,,
83,M01,M01U03,リハビリテーションを通じて社会復帰を目指す段階はどれか？,三次予防,一次予防,二次予防,社会的支援,1,三次予防では、病気の後遺症を減らし社会復帰を促す支援が行われる。,"三次予防,リハビリ,社会復帰",1,,,,,
84,M01,M01U03,生活習慣病の発症に影響する社会的要因として誤っているものはどれか？,地域のつながりが強い,ストレスが多い,夜型の生活が増える,食の欧米化が進む,1,地域のつながりが強いことは生活習慣病のリスクを下げる方向に働く。,"社会的要因,生活環境,誤答選別",2,,,,,
85,M01,M01U03,WHOが推進する「健康づくりのための行動計画」で強調されていることはどれか？,個人と社会の両面からの取り組み,医療のみに頼ること,遺伝要因の排除,病気の完全な根絶,1,WHOは健康を社会全体で支える仕組みづくりを強調しており、SDH（健康の社会的決定要因）の概念とも関連する。,"WHO,SDH,健康政策",3,,,,,
86,M01,M01U03,SDH（健康の社会的決定要因）に含まれないものはどれか？,個人の遺伝子型,所得や教育水準,職業や居住環境,社会的ネットワーク,1,SDHは社会的・経済的な条件を指し、遺伝的要因は含まれない。,"SDH,健康格差,社会要因",3,,,,,
87,M01,M01U03,生活習慣病の対策として国が重視している「特定健診・特定保健指導」の目的はどれか？,メタボリックシンドロームの予防・改善,がんの根絶,感染症対策の強化,老化防止,1,特定健診・特定保健指導は、メタボリックシンドロームの早期発見と改善を目的としている。,"特定健診,保健指導,政策",2,,,,,
88,M01,M01U03,健康日本21（第二次）で掲げられた基本方針に含まれないものはどれか？,経済成長率の上昇,健康寿命の延伸,健康格差の縮小,生活習慣の改善,1,健康日本21の方針は健康寿命の延伸と健康格差の縮小、生活習慣の改善などを目標にしている。,"健康日本21,方針,誤答選別",2,,,,,
89,M01,M01U03,生活習慣病対策で地域の役割として最も重要なのはどれか？,健康づくりを支援する環境整備,医療費の増加促進,病気の個人責任化,高齢者の活動制限,1,地域社会ではウォーキング大会や健康講座など、健康的な環境づくりを推進することが求められている。,"地域保健,環境整備,健康づくり",3,,,,,
90,M01,M01U03,生活習慣病の予防において「社会的支援」が重要とされる理由はどれか？,行動変容の継続を助けるから,医学的治療を代行できるから,感染症を根絶できるから,ストレスを完全に除去できるから,1,家族・職場・地域などの支援があると健康的な生活行動を継続しやすくなる。,"社会的支援,行動変容,健康支援",3,,,,,
