id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_occupational_accidents_and_health
1002,M06,M06U04,長時間労働の是正が必要な理由として最も適切なものはどれか？,心身の健康を守るため,会社の利益を増やすため,通勤時間を短縮するため,人間関係を改善するため,1,"長時間労働は過労死やうつ病の原因となるため,是正が必要である。","過労死,健康管理,労働時間",1,,,,,
1003,M06,M06U04,過労死等防止対策推進法が制定された目的はどれか？,過労死や過労自殺を防止するため,賃金を引き上げるため,休日を減らすため,雇用を制限するため,1,過労死等防止対策推進法は長時間労働などによる死亡や自殺を防ぐことを目的とする。,"法律,過労,防止策",2,,,,,
1004,M06,M06U04,労働安全衛生法で定められている内容として正しいものはどれか？,事業者の安全配慮義務,従業員の休日取得義務,経営者の罰金免除,地方自治体の労働支援義務,1,労働安全衛生法では事業者に対し労働者の安全と健康を確保する責任を定めている。,"法律,安全衛生,義務",1,,,,,
1005,M06,M06U04,"安全衛生管理体制の中で,50人以上の事業場に設置が義務づけられているのはどれか？",衛生委員会,人事委員会,防火委員会,品質管理委員会,1,"労働安全衛生法により,常時50人以上の事業場には衛生委員会の設置が義務づけられている。","組織,安全衛生,法律",2,,,,,
1006,M06,M06U04,"安全衛生管理体制の中で,安全衛生推進者の役割として正しいものはどれか？",労働者の安全教育を行う,賃金を計算する,人事評価を行う,設備を修理する,1,安全衛生推進者は中小事業場などで労働者の安全衛生活動を推進する役割を担う。,"安全衛生,推進者,役割",2,,,,,
1007,M06,M06U04,労働安全衛生マネジメントシステム(PDCAサイクル)における「C」はどの段階か？,点検(Check),計画(Plan),実施(Do),改善(Act),1,"PDCAサイクルのCはCheckを表し,実施した内容を評価・点検する段階である。","PDCA,管理,安全衛生",2,,,,,
1008,M06,M06U04,リスクアセスメントの目的として最も適切なものはどれか？,"危険要因を特定し,リスクを低減する",生産効率を高める,人員を削減する,コストを削減する,1,"リスクアセスメントは危険源を特定し,事故を未然に防止するために行う手法である。","リスク管理,安全衛生,予防",2,,,,,
1009,M06,M06U04,作業環境管理の目的として正しいものはどれか？,有害物質や温度などの作業環境を安全に保つ,人間関係を良くする,生産数を増やす,勤務態度を評価する,1,作業環境管理は労働者が安全で健康的に作業できるよう環境を整えることを目的とする。,"作業環境,管理,安全衛生",1,,,,,
1010,M06,M06U04,作業管理の具体的な内容として適切なものはどれか？,作業手順や方法を安全に設定する,生産量を増やす,販売価格を決定する,広告を出す,1,"作業管理では作業方法や手順を標準化し,安全確保と効率の両立を図る。","作業管理,標準化,安全確保",1,,,,,
1011,M06,M06U04,健康管理の一環として行われるものはどれか？,定期健康診断,交通安全講習,避難訓練,資格試験,1,"健康管理には定期健康診断が含まれ,早期発見・早期対応に役立つ。","健康管理,定期健診,職場",1,,,,,
1012,M06,M06U04,労働災害を防止する三管理に含まれないものはどれか？,労務管理,作業管理,作業環境管理,健康管理,1,労働災害防止の三管理は作業管理・作業環境管理・健康管理である。,"安全管理,分類,労働災害",1,,,,,
1013,M06,M06U04,作業主任者の主な職務として正しいものはどれか？,現場での安全作業を直接指導する,人事異動を決定する,経営計画を立てる,給与計算を行う,1,"作業主任者は労働安全衛生法で定められた資格者で,現場での安全作業を指導する。","作業主任者,現場管理,安全衛生",2,,,,,
1014,M06,M06U04,安全帯(フルハーネス型)の主な目的はどれか？,高所作業時の墜落を防止する,振動をやわらげる,粉じんを防ぐ,熱中症を予防する,1,安全帯は高所からの墜落を防止するために装着する安全器具である。,"安全具,墜落防止,高所作業",1,,,,,
1015,M06,M06U04,労働災害による死亡原因として最も多いものはどれか？,墜落・転落,交通事故,感電,中毒,1,"死亡災害の最多原因は墜落・転落であり,建設業などで多く発生している。","統計,死亡災害,建設業",2,,,,,
1016,M06,M06U04,労働災害発生率が特に高い業種はどれか？,建設業,教育業,金融業,情報通信業,1,"建設業は高所作業や重機作業が多く,災害発生率が高い。","業種,労働災害,統計",2,,,,,
1017,M06,M06U04,女性労働者に多い職業性疾病として適切なものはどれか？,頸肩腕障害,肺気腫,高血圧,慢性腎炎,1,"女性労働者ではVDT作業や軽作業が多く,頸肩腕障害の発生が多い。","性差,職業病,VDT",3,,,,,
1018,M06,M06U04,精神障害による労災認定件数が増加している主な要因はどれか？,職場のストレス増加,感染症の流行,機械化の進展,少子化の影響,1,"職場の人間関係や過重労働など,精神的ストレスによる労災認定が増加している。","精神障害,ストレス,労災認定",3,,,,,
1019,M06,M06U04,安全意識を高めるために重要な取組はどれか？,安全教育の実施,給与の引き上げ,勤務日数の削減,外注化の促進,1,"安全教育を継続的に行うことで,従業員の安全意識が高まり災害を防げる。","教育,安全意識,防止",2,,,,,
1020,M06,M06U04,職場の安全文化を形成するために重要なことはどれか？,全員が安全を共有し協力する,管理者のみが考える,個人任せにする,災害後にだけ対策する,1,"安全文化は全員が安全を最優先に考え,協力し合う風土によって形成される。","安全文化,協働,職場風土",3,,,,,
