id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_environment_and_health_measures
1128,M07,M07U03,廃棄物のリサイクルを促進するために重要な考え方はどれか？,3R（リデュース・リユース・リサイクル）,省エネルギー,大量生産,低価格販売,1,廃棄物対策の基本は3Rであり、発生抑制・再使用・再資源化の推進が求められる。,"3R,リサイクル,循環型社会",2,,,,,
1129,M07,M07U03,「循環型社会」とはどのような社会か？,資源を大量に消費する社会,廃棄物をできるだけ再利用・再生する社会,消費を抑え経済活動を止める社会,廃棄物を海外に輸出する社会,2,循環型社会は廃棄物の発生抑制と再資源化を重視し、資源を持続的に利用する社会である。,"循環型社会,資源,再利用",2,,,,,
1130,M07,M07U03,ダイオキシン類の主な発生源として最も関係が深いのはどれか？,ゴミ焼却施設,工場の冷却装置,給水設備,地熱発電所,1,ダイオキシン類はごみ焼却の際に不完全燃焼によって発生し、健康被害を引き起こす。,"ダイオキシン,焼却,有害物質",1,,,,,
1131,M07,M07U03,産業廃棄物処理における最終処分とはどのような方法か？,再資源化する,埋立処分する,燃料として再利用する,輸出する,2,最終処分は再利用できない廃棄物を安全に埋立てる処理方法である。,"産業廃棄物,処理,埋立",2,,,,,
1132,M07,M07U03,不法投棄がもたらす影響として適切でないものはどれか？,環境汚染,景観悪化,地域の信頼回復,地下水汚染,3,不法投棄は環境・地域社会に悪影響を及ぼし、信頼を回復する要因ではない。,"不法投棄,環境汚染,地域社会",2,,,,,
1133,M07,M07U03,アスベストによる健康被害として誤っているものはどれか？,肺がん,中皮腫,気管支ぜんそく,じん肺,3,アスベストは吸入により肺がんや中皮腫を起こすが、気管支ぜんそくは直接関係しない。,"アスベスト,健康被害,呼吸器",1,,,,,
1134,M07,M07U03,PCBが環境問題となる理由として最も適切なのはどれか？,生分解されにくく環境中に残留するから,使用中に自然蒸発するから,水に溶けやすく拡散しやすいから,冷却効果が高いから,1,PCBは化学的に安定で分解されにくく、長期にわたって環境中に残留する。,"PCB,環境汚染,残留性",1,,,,,
1135,M07,M07U03,廃棄物処理法で定められている「特別管理産業廃棄物」に該当するものはどれか？,木くず,紙くず,廃油,PCB廃棄物,4,PCB廃棄物など有害性が高いものは「特別管理産業廃棄物」として厳重な管理が必要である。,"特別管理,産業廃棄物,法制度",2,,,,,
1136,M07,M07U03,環境アセスメントの手続きに含まれるものはどれか？,事後報告,事前調査と評価,法律制定,費用補助,2,環境アセスメントは開発事業前に事前調査と評価を行い、環境への影響を予測する制度である。,"環境アセスメント,予測,事前評価",2,,,,,
1137,M07,M07U03,環境問題に対して国際的に取り組むための枠組みとして正しいものはどれか？,京都議定書,生物多様性保護法,エネルギー基本計画,地方自治法,1,京都議定書は地球温暖化防止を目的とした国際的な取り決めである。,"京都議定書,国際協定,温暖化",3,,,,,
1138,M07,M07U03,持続可能な社会をめざす国際的目標として正しいものはどれか？,SDGs,ISO,ESG,ASEAN,1,SDGsは国連が定めた持続可能な開発目標であり、環境保全や社会的平等を含む。,"SDGs,持続可能,国際目標",3,,,,,
1139,M07,M07U03,環境問題に対する私たちの役割として最も適切なのはどれか？,問題を行政に任せる,日常生活の中で環境に配慮した行動をとる,廃棄物をできるだけ燃やす,製品を大量に購入する,2,一人ひとりが環境にやさしい行動をとることが、持続可能な社会づくりにつながる。,"個人行動,環境意識,持続可能",2,,,,,
1140,M07,M07U03,環境リスクに対する考え方として適切なのはどれか？,リスクをゼロにすることを目指す,リスクと利益のバランスを考慮する,リスクを無視して経済を優先する,リスクを他国に移す,2,環境リスク管理では、リスクを完全に排除するのではなく、社会的利益とのバランスを考えることが重要である。,"リスク管理,環境リスク,バランス",3,,,,,
