id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_physical_activity_and_health
161,M01,M01U06,身体活動のエネルギー消費量を表す単位として適切なのはどれか？,キロカロリー,デシベル,ミリリットル,ヘルツ,1,身体活動によるエネルギー消費は通常kcal（キロカロリー）で表される。,"エネルギー,消費量,単位",1,,,,,
162,M01,M01U06,運動不足が生活習慣病の原因となる理由はどれか？,代謝が低下するため,免疫が過剰に働くため,体温が上昇するため,睡眠が短くなるため,1,運動不足により基礎代謝が低下し、肥満や糖尿病を引き起こす。,"生活習慣病,代謝,運動不足",1,,,,,
163,M01,M01U06,健康づくりのための運動の目安として正しいのはどれか？,1日60分程度の中強度の身体活動,週1回だけの激しい運動,1日10分以内の軽活動,月に1回のスポーツ,1,健康づくりのためには1日合計60分程度の中強度活動が推奨される。,"中強度活動,健康増進,運動指針",1,,,,,
164,M01,M01U06,中強度の身体活動に該当するのはどれか？,速歩や軽いジョギング,テレビ視聴,入浴,睡眠,1,速歩や軽いジョギングなどが中強度の身体活動にあたる。,"運動強度,METs,日常活動",1,,,,,
165,M01,M01U06,筋力トレーニングの健康への効果として正しいのはどれか？,骨量や筋力の維持に役立つ,血圧を必ず上げる,脂肪を急激に燃焼させる,免疫を抑制する,1,筋力トレーニングは骨や筋肉を強化し、生活機能の維持に役立つ。,"筋力,骨密度,健康維持",2,,,,,
166,M01,M01U06,メタボリックシンドローム予防に有効な運動の特徴はどれか？,有酸素性運動,短時間の無酸素運動,瞬発力中心のトレーニング,極端な負荷運動,1,有酸素運動は脂肪燃焼や血中脂質改善に有効である。,"メタボリックシンドローム,有酸素運動,生活習慣病",2,,,,,
167,M01,M01U06,骨粗しょう症予防に有効な運動はどれか？,負荷をかける運動,長時間のストレッチ,水泳,座位での呼吸運動,1,ジャンプや筋力トレーニングなど骨に負荷をかける運動が効果的である。,"骨粗しょう症,負荷運動,骨密度",2,,,,,
168,M01,M01U06,運動が高血圧に与える主な効果はどれか？,血圧を下げる方向に働く,血圧を上げる方向に働く,血圧に影響しない,不安定に変動させる,1,適度な運動は血圧を下げ、循環機能を改善する。,"高血圧,循環機能,運動効果",2,,,,,
169,M01,M01U06,過度な運動が健康に及ぼす影響として正しいのはどれか？,疲労やケガの原因になる,骨密度を永久に上げる,糖尿病を治す,ストレスを完全に除去する,1,過度な運動は疲労や障害を引き起こすため、適度な運動量が重要である。,"過負荷,健康リスク,運動量",2,,,,,
170,M01,M01U06,日常生活の中で身体活動を増やす工夫として適切なのはどれか？,階段を使う,エレベーターを使う,車で近距離移動する,長時間座り続ける,1,階段利用など日常の小さな工夫で身体活動量を増やせる。,"日常生活,身体活動,工夫",1,,,,,
171,M01,M01U06,座位行動と死亡リスクの関係で正しいのはどれか？,座っている時間が長いほど死亡リスクは高い,座位時間が長いほど健康になる,関係はない,座る姿勢が良ければ問題ない,1,長時間の座位は生活習慣病や死亡リスクを高める。,"座位行動,死亡リスク,健康影響",2,,,,,
172,M01,M01U06,ウォーキングなどの有酸素運動の特徴はどれか？,酸素を使ってエネルギーを産生する,短時間で筋肉を酷使する,無酸素状態で行う,呼吸を止めて行う,1,有酸素運動は酸素を利用して持続的にエネルギーを作り出す。,"有酸素運動,エネルギー代謝,呼吸",1,,,,,
173,M01,M01U06,運動によって上昇する善玉コレステロールはどれか？,HDLコレステロール,LDLコレステロール,中性脂肪,尿酸,1,運動によりHDLコレステロールが増加し動脈硬化予防につながる。,"HDL,脂質代謝,動脈硬化",2,,,,,
174,M01,M01U06,社会環境が運動習慣に与える影響で正しいのはどれか？,安全な歩行空間が運動を促進する,交通量が多いほど運動量が増える,照明が暗いほど活動的になる,運動施設が少ないほど運動習慣がつく,1,歩道や公園などの整備は身体活動の促進に寄与する。,"社会環境,運動習慣,環境要因",3,,,,,
175,M01,M01U06,身体活動量を客観的に測定する方法として適切なのはどれか？,歩数計や加速度センサーを使う,自己申告に頼る,感覚で判断する,カロリー表示食品を見る,1,歩数計や加速度センサーによって活動量を客観的に測定できる。,"測定,身体活動量,歩数計",2,,,,,
176,M01,M01U06,身体活動の促進を社会全体で進める意義はどれか？,国民の健康寿命を延ばすため,運動施設を増やすためだけ,競技人口を増やすため,個人差をなくすため,1,社会的取り組みは健康寿命の延伸や医療費抑制に貢献する。,"健康寿命,社会的支援,政策",3,,,,,
177,M01,M01U06,健康づくりのための運動習慣をつける工夫として最も適切なのはどれか？,無理せず続けられる方法を選ぶ,結果を急ぐ,他人と競う,長時間休む,1,継続できるペースで行うことが運動習慣の定着につながる。,"運動習慣,継続,行動変容",1,,,,,
178,M01,M01U06,運動を行う際の安全面での注意点として正しいのはどれか？,体調や環境に合わせて無理をしない,体調不良でも計画通り行う,水分をとらずに集中する,準備運動を省く,1,体調や天候に応じて無理を避けることが安全な運動に重要である。,"安全管理,運動,健康教育",2,,,,,
179,M01,M01U06,健康日本21（第二次）で重視されている身体活動の目標はどれか？,1日あたりの歩数増加,競技人口の増加,筋力の極限化,運動施設の増設,1,健康日本21では成人の歩数増加などの身体活動目標を掲げている。,"健康日本21,政策,身体活動",3,,,,,
180,M01,M01U06,身体活動の社会的要因を説明するモデルはどれか？,社会生態学モデル,エネルギー循環モデル,代謝モデル,行動強化モデル,1,社会生態学モデルは個人・家族・地域など複数の要因が行動に影響することを示す。,"社会生態学モデル,行動科学,社会的要因",3,,,,,
