id,deck_id,unit_id,question,choice1,choice2,choice3,choice4,answer_index,explanation,tags,importance,,,,,unit_air_pollution_and_health
1071,M07,M07U01,光化学スモッグが発生しやすい条件として正しいのはどれか？,日射が強く風の弱い夏の日,湿度が高い雨の日,冬の寒冷な夜間,降雪直後の朝,1,光化学スモッグは日射が強く風が弱い日に発生しやすい。,"光化学スモッグ,気象条件,日射",2,,,,,
1072,M07,M07U01,黄砂が人体に与える影響として適切なのはどれか？,呼吸器への刺激やアレルギー症状を引き起こす,水質汚染を促進する,気温を上昇させる,オゾン層を破壊する,1,黄砂はPMや微生物を含み、呼吸器への刺激やアレルギー症状を生じる。,"黄砂,呼吸器,アレルギー",2,,,,,
1073,M07,M07U01,シックハウス症候群を防ぐために重要な対策はどれか？,十分な換気を行う,室温を下げる,空気清浄機を使用しない,照明を暗くする,1,VOCの蓄積を防ぐためには定期的な換気が必要である。,"シックハウス,換気,VOC",2,,,,,
1074,M07,M07U01,酸性雨が文化財に与える影響として正しいのはどれか？,石造建築物の表面を侵食する,建物を光沢化させる,金属腐食を防ぐ,木造建築を強化する,1,酸性雨は石灰岩や大理石を溶かし、建築物や文化財を劣化させる。,"酸性雨,文化財,環境影響",2,,,,,
1075,M07,M07U01,二酸化炭素排出量削減のために個人ができる行動として最も適切なのはどれか？,公共交通機関を利用する,冷暖房を強化する,プラスチックを多用する,車のアイドリングを続ける,1,移動時に公共交通を利用することでCO₂排出を減らせる。,"温暖化対策,行動変容,省エネ",2,,,,,
1076,M07,M07U01,SDGsの目標13「気候変動に具体的な対策を」に関連する行動として正しいのはどれか？,再生可能エネルギーの利用を促進する,森林伐採を進める,石炭火力発電を増やす,使い捨て製品を多用する,1,SDGs目標13は気候変動への緩和策として再生可能エネルギーの導入を重視している。,"SDGs,気候変動,再生可能エネルギー",3,,,,,
1077,M07,M07U01,酸性雨の被害を軽減するための国際的な協力として適切なのはどれか？,越境大気汚染の共同監視,軍事施設の強化,工業生産の拡大,農地開発の促進,1,酸性雨は国境を越えて拡散するため、国際的な監視と協力が重要である。,"酸性雨,国際協力,越境汚染",3,,,,,
1078,M07,M07U01,PM2.5による健康被害を低減するための個人の工夫として適切なのはどれか？,外出を控えマスクを着用する,冷房を強くする,屋外で長時間運動する,加湿器を止める,1,PM2.5濃度が高い日は外出を控え、マスク着用で吸入を防ぐことが有効である。,"PM2.5,健康管理,予防",3,,,,,
1079,M07,M07U01,大気汚染の改善における市民の役割として適切なのはどれか？,省エネ行動や地域の清掃活動に参加する,排出規制を緩和する,工場の稼働を増やす,ガソリン車を推奨する,1,市民一人ひとりが省エネや環境美化に取り組むことが汚染軽減に寄与する。,"市民参加,環境保全,省エネ",3,,,,,
1080,M07,M07U01,今後の大気環境保全に向けた重要な視点として最も適切なのはどれか？,地域・国際的な協力による持続可能な取組,経済活動の拡大優先,環境問題の放置,個人の努力のみへの依存,1,持続可能な社会を実現するには個人・企業・政府・国際社会が協力することが重要である。,"持続可能,協働,環境政策",3,,,,,
